date,action,reward,done,vr-deployment_num_clients,vr-deployment_network_delay,vr-deployment_num_pods,vr-deployment_cpu_usage,vr-deployment_max_cpu,vr-deployment_traffic_in,vr-deployment_traffic_out,vr-deployment_latency,vr-deployment_stall_duration,vr-deployment_stall_count,vr-deployment_n_720_z1,vr-deployment_n_1080_z1,vr-deployment_n_4k_z1,vr-deployment_n_720_z2,vr-deployment_n_1080_z2,vr-deployment_n_4k_z2,vr-deployment_n_720_z3,vr-deployment_n_1080_z3,vr-deployment_n_4k_z3,vr-deployment_n_sw_z1,vr-deployment_n_sw_z2,vr-deployment_n_sw_z3
2026-03-08 16:48:45,13,-0.285,0,1,12,14,5,6,35,702,0.024169263120899717,0.0,0.0,3.0,0.0,87.0,24.0,32.0,664.0,351.0,0.0,3159.0,3.0,6.0,1.0
2026-03-08 16:49:48,18,-0.24899999999999997,0,4,8,19,17,21,173,4440,0.019608493924750302,0.0,0.0,2.5,0.0,91.0,20.0,10.0,718.0,156.0,48.75,3441.75,1.0,2.25,2.0
2026-03-08 16:50:50,14,-0.23399999999999999,0,4,6,15,22,26,187,4421,0.016164327653181883,0.0,0.0,2.0,0.0,94.0,16.0,0.0,752.0,97.5,19.5,3627.0,1.0,1.0,1.5
2026-03-08 16:51:53,12,-0.23099999999999998,0,4,7,13,23,27,174,4489,0.019390697893114293,0.0,0.0,3.0,0.0,89.0,24.0,10.0,702.0,185.25,29.25,3373.5,1.5,2.25,1.5
2026-03-08 16:52:55,11,-0.219,0,4,7,12,27,29,175,3239,0.018607001203840505,0.0,0.0,1.0,0.0,92.75,8.0,0.0,742.0,39.0,78.0,3539.25,1.0,1.0,2.0
2026-03-08 16:53:58,12,-0.183,0,7,6,13,39,48,324,7760,0.019273164225580945,0.0,0.0,2.142857142857143,0.0,89.85714285714286,17.142857142857142,0.0,718.8571428571429,105.85714285714286,16.714285714285715,3465.4285714285716,1.0,1.0,1.4285714285714286
2026-03-08 16:55:01,3,-0.377059137921653,0,8,4,4,89,94,260,5861,0.05836478740487608,2.052424,5.5,1.0,0.0,60.875,13.0,1.0,481.0,68.25,19.5,2325.375,1.0,1.125,1.5
2026-03-08 16:56:03,15,-0.189,0,8,2,16,37,40,369,7822,0.012352497775057945,0.0,0.0,1.0,0.0,95.625,8.0,0.0,765.0,43.875,4.875,3719.625,1.0,1.0,1.125
2026-03-08 16:57:05,19,-0.23099999999999998,0,6,3,20,23,26,300,7119,0.01089184636110728,0.0,0.0,1.0,0.0,98.83333333333333,8.0,4.0,786.6666666666666,58.5,0.0,3835.0,1.0,1.5,1.0
2026-03-08 16:58:07,5,-0.2668852733395704,0,3,3,6,34,37,145,4131,0.017490303524622188,0.30634500000000003,1.0,1.0,0.6666666666666666,90.33333333333333,10.0,10.666666666666666,715.3333333333334,102.0,2.0,3484.0,1.0,2.0,1.0
2026-03-08 16:59:09,15,-0.258,0,3,4,16,14,18,134,3731,0.012562080374983187,0.0,0.0,1.0,0.0,98.33333333333333,13.333333333333334,0.0,781.3333333333334,65.0,26.0,3783.0,1.0,1.0,1.6666666666666667
